Temp,Loading,Ave Eng,Accept Rate,Vint1,Vint2,Vint3,Vint4,Vint5,Vint6,Vint7,runtime,,,Grad 1,,Grad 2
303,39,-29.18586986,0.2068,0.647221796,0.425244657,0.348737631,0.510274921,0.262876079,0.139875789,-0.361440731,980.9384217,,,-0.688951892,,-0.003313785
303,40,-29.87482175,0.1981183,0.672673667,0.455504086,0.372348838,0.550984324,0.264943647,0.151443724,-0.385120037,975.7170994,,,-0.692265678,,-0.002229864
303,41,-30.56708743,0.1885584,0.689144822,0.489191175,0.398603915,0.596763813,0.262945736,0.164814143,-0.412011031,972.0656905,,,-0.694495542,,0.006082778
303,42,-31.26158297,0.177499,0.700110217,0.524920295,0.426490896,0.64554547,0.258873415,0.179316119,-0.441359381,975.5807436,,,-0.688412763,,-0.011809798
303,43,-31.94999573,0.1676813,0.715932318,0.560689494,0.454206687,0.694554134,0.255635347,0.194011507,-0.470605221,974.7440298,,,-0.700222561,,0.010310431
303,44,-32.65021829,0.1552863,0.710536614,0.602209676,0.486805581,0.752160372,0.245025702,0.211710144,-0.505306383,975.3325775,,,-0.68991213,,-0.004538397
303,45,-33.34013042,0.1437602,0.718118166,0.641364865,0.517221354,0.805841166,0.239487664,0.22787015,-0.537733789,973.4063225,,,-0.694450527,,0.006234605
303,46,-34.03458095,0.1318731,0.715622343,0.684011118,0.55048186,0.864770602,0.22941182,0.246015739,-0.573654433,976.4805794,,,-0.688215922,,0.007914642
303,47,-34.72279687,0.1204793,0.720302639,0.725562967,0.582999435,0.921288456,0.222457259,0.26345258,-0.60868021,975.6817143,,,-0.68030128,,0.014804445
303,48,-35.40309815,0.1093881,0.733366645,0.766371672,0.614980654,0.977048567,0.217156309,0.28054261,-0.643444611,976.1129622,,,-0.665496836,,0.040705035
303,49,-36.06859499,0.1004369,0.764981928,0.804492705,0.644739583,1.028681671,0.216324084,0.296490178,-0.676245138,975.5490768,,,-0.624791801,,-0.109075935
303,50,-36.69338679,0.0966626,0.851684025,0.831658409,0.666339613,1.064478654,0.231406001,0.307143718,-0.69909721,977.2155941,,,-0.733867736,,-0.014677355
